date,iso_a3,name,dollar_price,gdp_dollar,pred
2020-07-01,ARG,Argentina,3.50923243962541,11658.22,2.991659808813666
2020-07-01,AUS,Australia,4.57845000000001,56420.201,4.835133388400424
2020-07-01,BRA,Brazil,3.91352788622682,8958.576,2.880477902269139
2020-07-01,CAN,Canada,5.0767414403778,46290.217,4.41794099770537
2020-07-01,CHE,Switzerland,6.90571049136786,83161.895,5.936461016469291
2020-07-01,CHL,Chile,3.47848165545258,15901.725,3.166423954134766
2020-07-01,CHN,China,3.09845077461269,9580.239,2.9060804178483006
2020-07-01,COL,Colombia,3.2900102570908,6641.507,2.7850519316540425
2020-07-01,CZE,Czech Republic,3.80124202379834,23112.593,3.463395722294169
2020-07-01,DNK,Denmark,4.58060723583256,60897.231,5.019515007257223
2020-07-01,EGY,Egypt,2.63322884012539,2573.288,2.6175067498964957
2020-07-01,EUZ,Euro area,4.7861385,40247.3234068038,4.169070987164253
2020-07-01,GBR,Britain,4.2773325,42579.817,4.265132202900272
2020-07-01,HKG,Hong Kong,2.64483708448642,48450.607,4.506914313846214
2020-07-01,HUN,Hungary,2.89037807590422,16484.19,3.190412142649792
2020-07-01,IDN,Indonesia,2.35538621406304,3870.562,2.6709335708516457
2020-07-01,IND,India,2.52667974334253,2037.692,2.595448810250519
2020-07-01,ISR,Israel,4.94660575552129,41728.191,4.230058910887366
2020-07-01,JPN,Japan,3.63551619669075,39303.958,4.130219507303723
2020-07-01,KOR,South Korea,3.74703359840127,33319.988,3.8837762009621253
2020-07-01,MEX,Mexico,2.2285612408629,9796.976,2.9150064958344135
2020-07-01,MYS,Malaysia,2.34204665338178,11072.387,2.967532912876017
2020-07-01,NOR,Norway,5.54900464729139,81549.977,5.870075924052128
2020-07-01,NZL,New Zealand,4.34840999999999,41204.706,4.208499749624821
2020-07-01,PAK,Pakistan,3.3033033033033,1565.427,2.575999089067188
2020-07-01,PER,Peru,3.40262488205187,7007.171,2.800111406412454
2020-07-01,PHL,Philippines,2.87298183142476,3104.223,2.6393727313189417
2020-07-01,POL,Poland,2.78943564645171,15425.681,3.1468185989401247
2020-07-01,RUS,Russia,1.91258766026776,11289.439,2.9764719637950647
2020-07-01,SAU,Saudi Arabia,3.7322882926114,23538.94,3.4809543605107414
2020-07-01,SGP,Singapore,4.2519458057077,64578.772,5.171135275485867
2020-07-01,SWE,Sweden,5.75593101637048,54356.073,4.750124518196818
2020-07-01,THA,Thailand,4.0783813923849,7448.119,2.818271370958519
2020-07-01,TUR,Turkey,2.03950725271521,9405.321,2.8988766099651295
2020-07-01,TWN,Taiwan,2.44428224670277,25007.747,3.5414455817998993
2020-07-01,USA,United States,5.71,62868.917,5.100716754075379
2020-07-01,ZAF,South Africa,1.8593492277702801,6353.846,2.773204925745669
